timestamp,gps_time,lat,ns,lon,ew,co2_ppm,tempC,humidity
2015-04-21 17:05:54,,,,,,660.00,21.56,44.41
2015-04-21 17:05:59,,,,,,675.00,21.58,44.34
2015-04-21 17:06:04,,,,,,700.00,21.64,43.72
2015-04-21 17:06:09,,,,,,701.00,21.73,43.12
2015-04-21 17:06:14,,,,,,698.00,21.78,42.87
2015-04-21 17:06:19,,,,,,699.00,21.88,42.62
2015-04-21 17:06:24,,,,,,700.00,21.94,42.40
2015-04-21 17:06:29,,,,,,697.00,22.03,42.23
2015-04-21 17:06:34,,,,,,697.00,22.11,42.78
2015-04-21 17:06:39,,,,,,700.00,22.14,43.21
2015-04-21 17:06:44,,,,,,704.00,22.22,42.82
2015-04-21 17:08:03,,,,,,991.00,22.11,42.96
2015-04-21 17:08:08,,,,,,1045.00,22.12,42.96
2015-04-21 17:08:13,,,,,,1023.00,22.19,42.83
2015-04-21 17:08:18,,,,,,997.00,22.25,42.46
2015-04-21 17:08:24,,,,,,986.00,22.31,42.15
2015-04-21 17:08:29,,,,,,962.00,22.39,41.84
2015-04-21 17:08:34,,,,,,936.00,22.45,41.64
2015-04-21 17:08:39,,,,,,858.00,22.51,41.55
2015-04-21 17:08:44,,,,,,798.00,22.58,41.41
2015-04-21 17:08:49,,,,,,777.00,22.60,41.34
2015-04-21 17:08:54,,,,,,753.00,22.66,41.26
2015-04-21 17:08:59,,,,,,742.00,22.70,41.08
2015-04-21 17:09:04,,,,,,732.00,22.73,41.09
2015-04-21 17:09:09,,,,,,714.00,22.80,40.97
2015-04-21 17:09:14,,,,,,667.00,22.83,40.85
2015-04-21 17:09:19,,,,,,647.00,22.87,40.71
2015-04-21 17:09:24,,,,,,643.00,22.90,40.63
2015-04-21 17:09:29,,,,,,634.00,22.91,40.55
2015-04-21 17:09:34,,,,,,626.00,22.96,40.35
2015-04-21 17:09:39,,,,,,627.00,22.97,40.34
2015-04-21 17:09:44,,,,,,621.00,23.03,40.30
2015-04-21 17:09:49,,,,,,664.00,23.03,40.26
2015-04-21 17:09:54,,,,,,1042.00,23.13,53.02
2015-04-21 17:09:59,,,,,,3976.00,23.17,59.27
2015-04-21 17:10:04,,,,,,6995.00,23.17,56.67
2015-04-21 17:10:09,,,,,,6768.00,23.24,52.07
2015-04-21 17:10:14,,,,,,6208.00,23.27,49.38
2015-04-21 17:10:19,,,,,,5645.00,23.30,47.45
2015-04-21 17:10:24,,,,,,4893.00,23.34,45.59
2015-04-21 17:10:29,,,,,,4472.00,23.36,44.89
2015-04-21 17:10:34,,,,,,3759.00,23.38,44.10
2015-04-21 17:10:39,,,,,,3292.00,23.42,43.76
2015-04-21 17:10:44,,,,,,3045.00,23.44,43.53
2026-05-08 12:17:43,,,,,,647.00,24.23,39.09
2026-05-08 12:17:48,,,,,,649.00,24.25,39.04
2026-05-08 12:17:53,,,,,,639.00,24.27,39.00
2026-05-08 12:17:58,,,,,,633.00,24.27,38.97
2026-05-08 12:18:03,,,,,,625.00,24.29,38.89
2026-05-08 20:14:54,,,,,,688.00,20.23,40.50
2026-05-09 14:59:47,,,,,,248.00,21.36,47.47
2026-05-09 14:59:52,,,,,,341.00,21.39,47.97
2026-05-09 15:00:00,113044.000,,,,,448.00,21.44,48.79
2026-05-09 15:00:05,113049.000,,,,,485.00,21.47,48.71
2026-05-09 15:00:10,113054.000,,,,,543.00,21.52,48.54
2026-05-09 15:00:15,113059.000,,,,,551.00,21.56,48.25
2026-05-09 15:00:20,113104.000,,,,,551.00,21.57,47.72
2026-05-09 15:00:25,113109.000,,,,,549.00,21.61,47.40
2026-05-09 15:00:30,113114.000,,,,,542.00,21.64,47.21
2026-05-09 15:00:35,113119.000,,,,,537.00,21.65,47.42
2026-05-09 15:00:40,113124.000,,,,,533.00,21.70,47.40
2026-05-09 15:00:45,113129.000,,,,,529.00,21.64,47.31
2026-05-09 15:00:50,113134.000,,,,,522.00,21.68,47.45
2026-05-09 15:00:55,113139.000,,,,,514.00,21.70,47.55
2026-05-09 15:01:00,113144.000,,,,,460.00,21.67,47.38
2026-05-09 15:01:05,113149.000,,,,,445.00,21.67,47.40
2026-05-09 15:01:10,113154.000,,,,,451.00,21.70,47.42
2026-05-09 15:01:15,113159.000,,,,,444.00,21.70,47.40
2026-05-09 15:01:20,113204.000,5221.77636,N,00455.22925,E,440.00,21.67,47.36
2026-05-09 15:01:25,113209.000,5221.77531,N,00455.22811,E,434.00,21.67,47.30
2026-05-09 15:01:30,113214.000,5221.77584,N,00455.22848,E,429.00,21.68,47.24
2026-05-09 15:01:35,113219.000,5221.77454,N,00455.22961,E,423.00,21.64,47.03
2026-05-09 15:01:40,113224.000,5221.77349,N,00455.22966,E,421.00,21.64,46.97
2026-05-09 15:01:45,113229.000,5221.77308,N,00455.22950,E,419.00,21.61,46.97
2026-05-09 15:01:50,113234.000,5221.77339,N,00455.22918,E,413.00,21.61,46.98
2026-05-09 15:01:55,113239.000,5221.77331,N,00455.22901,E,409.00,21.58,47.01
2026-05-09 15:02:00,113244.000,5221.77285,N,00455.22881,E,406.00,21.60,47.17
2026-05-09 15:02:05,113249.000,5221.77251,N,00455.22878,E,405.00,21.57,47.28
2026-05-09 15:02:10,113254.000,5221.77258,N,00455.22867,E,403.00,21.57,47.32
2026-05-09 15:02:15,113259.000,5221.77239,N,00455.22823,E,401.00,21.56,47.51
2026-05-09 15:02:20,113304.000,5221.77244,N,00455.22794,E,398.00,21.56,47.48
2026-05-09 15:02:25,113309.000,5221.77225,N,00455.22752,E,392.00,21.53,47.51
2026-05-09 15:02:30,113314.000,5221.77226,N,00455.22740,E,388.00,21.50,47.40
2026-05-09 15:02:35,113319.000,5221.77214,N,00455.22713,E,384.00,21.46,47.14
2026-05-09 15:02:40,113324.000,5221.77197,N,00455.22709,E,385.00,21.44,47.15
2026-05-09 15:02:45,113329.000,5221.77167,N,00455.22704,E,384.00,21.40,46.74
2026-05-09 15:02:50,113334.000,5221.77148,N,00455.22722,E,383.00,21.39,46.50
2026-05-09 15:02:55,113339.000,5221.77125,N,00455.22735,E,381.00,21.36,46.58
2026-05-09 15:03:00,113344.000,5221.77148,N,00455.22757,E,380.00,21.33,46.66
2026-05-09 15:03:05,113349.000,5221.77127,N,00455.22761,E,380.00,21.22,46.45
2026-05-09 15:03:10,113354.000,5221.77091,N,00455.22773,E,379.00,21.23,46.29
2026-05-09 15:03:15,113359.000,5221.77057,N,00455.22768,E,376.00,21.23,46.41
2026-05-09 15:03:20,113404.000,5221.77036,N,00455.22745,E,375.00,21.24,46.54
2026-05-09 15:03:25,113409.000,5221.77031,N,00455.22731,E,375.00,21.20,46.68
2026-05-09 15:03:30,113414.000,5221.77030,N,00455.22714,E,375.00,21.20,46.63
2026-05-09 15:03:35,113419.000,5221.77017,N,00455.22720,E,375.00,21.14,46.54
2026-05-09 15:03:40,113424.000,5221.77008,N,00455.22739,E,374.00,21.10,46.34
2026-05-09 15:03:45,113429.000,5221.76996,N,00455.22738,E,372.00,21.09,46.39
2026-05-09 15:03:50,113434.000,5221.76995,N,00455.22744,E,371.00,21.02,46.45
2026-05-09 15:03:55,113439.000,5221.77007,N,00455.22759,E,370.00,21.03,46.54
2026-05-09 15:04:00,113444.000,5221.77023,N,00455.22780,E,370.00,21.02,46.68
2026-05-09 15:04:05,113449.000,5221.77034,N,00455.22793,E,369.00,20.99,46.81
